product_code,product_category,product_subcategory,description,unit_price,unit_cost,shipping_cost_per_unit,length_in,width_in,height_in,weight_lbs,cubic_ft
FUR-ADV-10000002,Furniture,Furnishings,"Advantus Photo Frame, Duo Pack",53.04,32.91,3.06,9.49,1.02,13.25,0.61,0.074
FUR-ADV-10000108,Furniture,Furnishings,"Advantus Clock, Erganomic",50.01,49.53,4.64,11.63,2.09,10.67,3.06,0.15
FUR-ADV-10000183,Furniture,Furnishings,"Advantus Photo Frame, Black",20.59,51.87,1.89,10.93,1.13,12.94,1.13,0.092
FUR-ADV-10000188,Furniture,Furnishings,"Advantus Stacking Tray, Erganomic",24.99,17.25,2.62,12.66,10.55,2.84,2.14,0.22
FUR-ADV-10000190,Furniture,Furnishings,"Advantus Frame, Duo Pack",111.18,58.95,16.36,10.34,1.34,12.27,1.15,0.098
FUR-ADV-10000571,Furniture,Furnishings,"Advantus Frame, Erganomic",109.74,74.64,14.38,9.63,0.73,10.47,0.77,0.043
FUR-ADV-10000600,Furniture,Furnishings,"Advantus Clock, Duo Pack",51.45,45.3,4.07,12.04,2.54,13.87,1.52,0.245
FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray, Black",26.43,19.05,1.85,15.46,11.33,3.17,1.58,0.321
FUR-ADV-10001283,Furniture,Furnishings,"Advantus Frame, Black",111.12,88.92,7.62,10.3,0.73,10.3,0.65,0.045
FUR-ADV-10001440,Furniture,Furnishings,"Advantus Door Stop, Black",45.03,35.58,2.24,15.43,10.13,12.36,2.87,1.118
FUR-ADV-10001659,Furniture,Furnishings,"Advantus Light Bulb, Durable",17.1,13.02,2.5,16.91,13.49,13.47,4.51,1.778
FUR-ADV-10001855,Furniture,Furnishings,"Advantus Stacking Tray, Durable",26.37,19.26,4.23,14.5,10.54,2.52,1.94,0.223
FUR-ADV-10002329,Furniture,Furnishings,"Advantus Light Bulb, Erganomic",6.88,16.41,0.05,16.1,10.42,13.05,2.49,1.267
FUR-ADV-10002601,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",14.78,26.15,1.34,11.5,0.91,13.16,1.88,0.08
FUR-ADV-10002632,Furniture,Furnishings,"Advantus Door Stop, Duo Pack",17.44,41.79,1.64,15.72,10.11,16.14,5.83,1.484
FUR-ADV-10002889,Furniture,Furnishings,"Advantus Clock, Durable",48.42,45.54,3.52,12.6,3.99,13.03,1.6,0.379
